title,summary,link,cluster
پرترافیک‌ترین جاده‌های ایران پس از پایان ممنوعیت ترددهای بین‌استانی ,رئیس مرکز اطلاعات و کنترل ترافیک پلیس راهور ناجا از افزایش ترددها در محورهای مواصلاتی استان کشور در روزهای اول و دوم اردیبهشت خبر داد ,https://www.hamshahrionline.ir/news/503910/پرترافیک-ترین-جاده-های-ایران-پس-از-پایان-ممنوعیت-ترددهای-بین-استانی,5
نخستین کاروان حج ششم تیر اعزام می‌شود ,معاون حج و عمره سازمان حج و زیارت اعلام کرد در صورت عادی شدن شرایط مربوط به شیوع ویروس کرونا، نخستین کاروان زائران حج تمتع ششم تیر امسال راهی سرزمین وحی خواهند شد ,https://www.hamshahrionline.ir/news/503441/نخستین-کاروان-حج-۹۹-ششم-تیر-اعزام-می-شود,5
ممنوعیت ترددهای بین استانی لغو شد ,رییس مرکز اطلاعات و کنترل ترافیک پلیس راهور ناجا از لغو ممنوعیت تردد بین‌استانی در سراسر کشور خبر داد ,https://www.hamshahrionline.ir/news/503002/ممنوعیت-ترددهای-بین-استانی-لغو-شد,5
نکات ضدکرونایی که باید در سفرهای ضروری رعایت کنید ,ممکن است با شروع فعالیت کسب‌وکارها برخی مجبور باشند در شهر تردد کنند و یا حتی مسافرت‌های بین‌شهری داشته باشند بنابراین حتما باید علاوه بر رعایت نکات بهداشتی، مباحث مربوط به فاصله‌گذاری اجتماعی را رعایت کنند ,https://www.hamshahrionline.ir/news/502442/نکات-ضدکرونایی-که-باید-در-سفرهای-ضروری-رعایت-کنید,5
چطور بفهمیم ممنوع الخروجیم امکان اطلاع از ممنوع الخروجی فراهم شد ,رییس پلیس مهاجرت و گذرنامه نیروی انتظامی از فراهم شدن امکان استعلام ممنوع‌الخروجی افراد در آینده نزدیک خبر داد ,https://www.hamshahrionline.ir/news/499583/چطور-بفهمیم-ممنوع-الخروجیم-امکان-اطلاع-از-ممنوع-الخروجی-فراهم,0
ممنوعیت تردد پلاک‌های غیربومی تا کی ادامه دارد ,رئیس مرکز اطلاعات و کنترل ترافیک راهور ناجا ممنوعیت زمانی تردد پلاک‌های غیربومی را اعلام کرد ,https://www.hamshahrionline.ir/news/499530/ممنوعیت-تردد-پلاک-های-غیربومی-تا-کی-ادامه-دارد,5
مردم کدام استان‌ها در نوروز بیشتر به مازندران سفر کردند تردد چقدر کاهش پیدا کرد ,تردد بین‌ استانی در تعطیلات نوروز امسال در مقایسه با سال گذشته درصد کاهش یافت ,https://www.hamshahrionline.ir/news/498104/مردم-کدام-استان-ها-در-نوروز-بیشتر-به-مازندران-سفر-کردند-تردد,5
پیشنهاد وزیر گردشگری برای تعیین تعطیلی پس از کرونا ,وزیر میراث فرهنگی، گردشگری و صنایع‌دستی با طرح این پیشنهاد که بعد از مهار کرونا برای تزریق نشاط به جامعه، چند روز تعطیلی عمومی اعلام شود از معاون اول رییس جمهور درخواست کرد هزار میلیارد ریال برای جبران خسارت‌های ناشی از کروناویروس به صنعت گردشگری تخصیص داده شود ,https://www.hamshahrionline.ir/news/497814/پیشنهاد-وزیر-گردشگری-برای-تعیین-تعطیلی-پس-از-کرونا,5
وضعیت تردد در محورهای برون شهری کشور در شبانه روز گذشته ,مرکز مدیریت راه‌های کشور اعلام کرد که در شبانه روز گذشته تردد در محورهای برون شهری درصد کاهش یافته است ,https://www.hamshahrionline.ir/news/496981/وضعیت-تردد-در-محورهای-برون-شهری-کشور-در-شبانه-روز-گذشته,5
کاهش درصدی ترددها هزار خودرو هنوز به شهرهای مبدأ بازنگشته‌اند ,رئیس مرکز اطلاعات و کنترل ترافیک پلیس راهور گفت طبق برآورد ما از تا هزار وسیله‌نقلیه هنوز به استان‌های خود بازنگشته‌اند که توصیه مؤکد داریم این افراد موضوع را جدی گرفته و به موطن خود بازگردند ,https://www.hamshahrionline.ir/news/496976/کاهش-۵۷-درصدی-ترددها-۳۰-هزار-خودرو-هنوز-به-شهرهای-مبدأ-بازنگشته-اند,5
کاهش درصدی سفرها در روز گذشته  ۹۰ هزار خودرو از آغاز فاصله‌گذاری اجتماعی برگردانده شدند ,جانشین رئیس پلیس راه راهور ناجا گفت در سه روز گذشته از اجرای طرح کاهش فاصله اجتماعی همکاران بنده از ادامه سفر هزار راننده جلوگیری کرده‌اند ,https://www.hamshahrionline.ir/news/496543/کاهش-۶۲-درصدی-سفرها-در-۱۵-روز-گذشته-۹۰-هزار-خودرو-از-آغاز-فاصله-گذاری,5
چقدر از بار ترافیکی جاده‌ها با طرح فاصله‌گذاری اجتماعی کم شد ,رئیس پلیس راه ناجا از کاهش درصدی بار ترافیکی نسبت به دو سه روز قبل از اجرای طرح فاصله‌گذاری اجتماعی خبر داد ,https://www.hamshahrionline.ir/news/496296/چقدر-از-بار-ترافیکی-جاده-ها-با-طرح-فاصله-گذاری-اجتماعی-کم-شد,5
ممنوعیت ورود خودروهای پلاک شهرستان به تهران  توقیف یک ماهه خودروهای متخلف ,جانشین پلیس راه تهران بزرگ با اشاره به ممنوعیت ورود خودروهای پلاک شهرستان به تهران گفت خودروهایی که قصد ورود به شهر تهران را داشته باشند، چنانچه پلاک شهرستان باشند به سمت محل سکونت خودشان برگشت داده می‌شوند ,https://www.hamshahrionline.ir/news/496290/ممنوعیت-ورود-خودروهای-پلاک-شهرستان-به-تهران-توقیف-یک-ماهه-خودروهای,14
وضعیت راه‌ها بارش برف و باران در محورهای استان ,رییس مرکز اطلاعات و کنترل ترافیک پلیس راهور ناجا از بارش برف و باران در محورهای استان خبر داد ,https://www.hamshahrionline.ir/news/496271/وضعیت-راه-ها-بارش-برف-و-باران-در-محورهای-١٣-استان,5
خروج خودروها از استان تهران ممنوع شد کدام خودروها مستثنی شدند ,معاون عمرانی استانداری تهران گفت تردد تمام خودروها به استثنای خودروهای حامل سوخت، امدادی، خدماتی، امنیتی و انتظامی به خارج از استان ممنوع شد ,https://www.hamshahrionline.ir/news/495410/خروج-خودروها-از-استان-تهران-ممنوع-شد-کدام-خودروها-مستثنی-شدند,14
هر دقیقه یک نفر در تصادفات نوروزی فوت‌ می‌کند آمار مصدومان و فوتی‌های تصادفات نوروزی ,رئیس پلیس ترافیک شهری پلیس راهور گفت هر سه دقیقه یک نفر در تصادفات نوروزی مصدوم شده و هر دقیقه یک نفر در این سوانح جان خود را از دست می‌دهد ,https://www.hamshahrionline.ir/news/495215/هر-۸۰-دقیقه-یک-نفر-در-تصادفات-نوروزی-فوت-می-کند-آمار-مصدومان,5
سفرهای نوروزی چقدر کاهش یافتند ماموران پلیس در ماموریت‌ها به کرونا مبتلا شدند ,رئیس پلیس کشور از میزان کاهش سفرهای نوروزی در مقایسه با سال قبل گزارش داد اگر چه کاهش قابل توجه است اما سفرها نیز خیلی بیشتر از حد انتظار است ,https://www.hamshahrionline.ir/news/494964/سفرهای-نوروزی-چقدر-کاهش-یافتند-ماموران-پلیس-در-ماموریت-ها,5
